agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd
USGS,431746101535501, 38N39W 2DBBC,GW,43.2941622,-101.9001514,S,NAD83, 3346, 20,NGVD29,10140202
USGS,431746102011301, 38N40W 2BDDD,GW,43.29610516,-102.0207088,F,NAD83, 3428, 30,NGVD29,10140202
USGS,431746102153301, 37N42W 3ABDD,GW,43.21387839,-102.2726582,F,NAD83, 3230, 20,NGVD29,10140201
USGS,431746102153302, 38N42W 22,GW,43.29610108,-102.2571035,M,NAD83, 3510,165,NGVD29,10140201
USGS,431746102153303, 38N42W 23,GW,43.29610108,-102.2571035,M,NAD83, 3510,165,NGVD29,10140201
USGS,431746102164401, 37N42W 3ABCC,GW,43.213045,-102.2771028,F,NAD83, 3240, 20,NGVD29,10140201
USGS,431747101543001, 38N39W 3ADDD,GW,43.29638436,-101.9115404,S,NAD83, 3369, 20,NGVD29,10140202
USGS,431748101584701, 38N39W 6,GW,43.2966613,-101.9801525,M,NAD83, 3444, 30,NGVD29,10140202
USGS,431749102215401, 38N43W 1BCCA,GW,43.2969331,-102.365441,F,NAD83, 3057, 15,NGVD29,10140201
USGS,431750101511501, 38N38W 6AAAC,GW,43.3016629,-101.853484,S,NAD83, 3313.00, 30,NGVD29,10140202
USGS,431750102005801, 38N40W 2BCD,GW,43.2972162,-102.0265423,S,NAD83, 4318, 20,NGVD29,10140201
USGS,431750102013401, 38N40W 2BCD2,GW,43.2972162,-102.0265423,S,NAD83, 3418, 20,NGVD29,10140201
USGS,431752101470101, 38N38W 2BD,GW,43.29777479,-101.784872,F,NAD83, 3182.00, 20,NGVD29,10140202
USGS,431752101570901, 38N39W 5DAAD,GW,43.29471718,-101.9512632,S,NAD83, 3395, 20,NGVD29,10140202
USGS,431752101585801, 38N39W 6BD,GW,43.2977724,-101.983208,T,NAD83, 3411, 30,NGVD29,10140202
USGS,431752102482601, 38N46W 6ACCB,GW,43.29776145,-102.8076836,F,NAD83, 2845, 10,NGVD29,10140201
USGS,431753103233601,009S06E03ACA FR95C,GW,43.2987222,-103.3927222,1,NAD83, 3209.1, .2,NAVD88,10120106
USGS,431756101303201, 38N35W 6BCAD,GW,43.29721928,-101.5093165,S,NAD83, 3044, 30,NGVD29,10140202
USGS,431757101534201, 38N39W 2AADD,GW,43.2991624,-101.8912623,S,NAD83, 3320, 30,NGVD29,10140202
USGS,431759102012801, 38N40W 2BDDC,GW,43.29693849,-102.0218199,S,NAD83, 3445, 20,NGVD29,10140201
USGS,431801102005001, 38N40W 2DDBC,GW,43.29110515,-102.0143198,S,NAD83, 3445, 20,NGVD29,10140201
USGS,431802102340201, 38N44W 6A,GW,43.299153,-102.5676715,M,NAD83, 2950.00,110,NGVD29,10140201
USGS,431803101454401, 38N38W 1BADA,GW,43.30083064,-101.7626495,F,NAD83, 3050, 60,NGVD29,10140202
USGS,431805103102901,009S08E04,GW,43.3013681,-103.1751978,M,NAD83, 3320,20,NGVD29,10120109
USGS,431807101593901, 38N40W 1AAAC,GW,43.3011057,-101.9926526,S,NAD83, 3414, 35,NGVD29,10140201
USGS,431808101543001, 39N39W35CCD,GW,43.30221784,-101.9087626,T,NAD83, 3363, 20,NGVD29,10140202
USGS,431811102020301, 39N40W34DDCC,GW,43.3030495,-102.034598,F,NAD83, 3248, 30,NGVD29,10140201
USGS,431812102230501, 39N43W35CCCD,GW,43.3033218,-102.385164,F,NAD83, 3080, 15,NGVD29,10140201
USGS,431813101514901, 39N38W31CD,GW,43.30360728,-101.8640397,T,NAD83, 3280, 30,NGVD29,10140202
USGS,431813101514902, 39N38W31CD2,GW,43.30360728,-101.8640397,T,NAD83, 3280, 30,NGVD29,10140201
USGS,431813102013401, 39N40W35CDCC,GW,43.30332746,-102.0257089,S,NAD83, 3346, 20,NGVD29,10140201
USGS,431814102065601, 39N41W36DCD,GW,43.30443699,-102.1159889,T,NAD83, 3315, 90,NGVD29,10140201
USGS,431814103125001,008S08E31CDDB,GW,43.3038678,-103.2143648,F,NAD83, 3264, 10,NGVD29,10120109
USGS,431816103112801,008S08E32DCC,GW,43.3044236,-103.1915868,F,NAD83, 3369.90, 10,NGVD29,10120109
USGS,431817102045501, 39N40W32CDCA,GW,43.30471537,-102.0823769,5,NAD83, 3480, 35,NGVD29,10140201
USGS,431819101414901, 39N37W33D,GW,43.3052752,-101.6973716,T,NAD83, 3050, 60,NGVD29,10140202
USGS,431820101544201, 39N39W34DDA,GW,43.30555115,-101.9165404,S,NAD83, 3362, 15,NGVD29,10140201
USGS,431820101564501, 39N39W33CCAD,GW,43.3055508,-101.946263,F,NAD83, 3390, 30,NGVD29,10140202
USGS,431821101303101, 38N35W 6BBAC,GW,43.30138598,-101.5115387,S,NAD83, 2988, 30,NGVD29,10140202
USGS,431821101331101, 39N36W34DADC,GW,43.3058305,-101.5557052,S,NAD83, 2965, 15,NGVD29,10140202
USGS,431821102215001, 39N43W36CCCA,GW,43.30415539,-102.3665522,F,NAD83, 3051, 10,NGVD29,10140201
USGS,431821102215501, 39N43W36CCBA,GW,43.30582209,-102.3657189,F,NAD83, 3057, 15,NGVD29,10140201
USGS,431821102275401, 39N44W36DDD,GW,43.3033208,-102.4654449,T,NAD83, 2920, 30,NGVD29,10140201
USGS,431821102280301, 39N44W36DDC,GW,43.3033208,-102.4690562,T,NAD83, 2854, 30,NGVD29,10140201
USGS,431821102285401, 39N44W36C,GW,43.30582067,-102.4821123,T,NAD83, 2953.00,120,NGVD29,10140201
